ags5,date,ground_truth,pred,error
1058,4/30/2019,3.9,4.0907254,0.190725422
1058,5/31/2019,4,4.013706,0.013706207
1058,6/30/2019,3.8,4.109528,0.309528065
1058,7/31/2019,4.1,3.9822311,0.11776886
1058,8/31/2019,4,3.9679296,0.032070398
1058,9/30/2019,3.8,3.9180126,0.118012619
1058,10/31/2019,3.8,3.7664766,0.033523369
1058,11/30/2019,3.7,3.7250693,0.025069284
1058,12/31/2019,3.7,3.8570802,0.157080221
1059,1/31/2018,6.1,5.9327517,0.167248344
1059,2/28/2018,6,6.009491,0.009490967
1059,3/31/2018,5.8,6.0289664,0.228966427
1059,4/30/2018,5.5,5.779444,0.279444218
1059,5/31/2018,5.4,5.666862,0.266862011
1059,6/30/2018,5.3,5.742937,0.442937088
1059,7/31/2018,5.5,5.543955,0.043954849
1059,8/31/2018,5.5,5.5786104,0.07861042
1059,9/30/2018,5.2,5.514817,0.314817238
1059,10/31/2018,5.1,5.273608,0.173608208
1059,11/30/2018,4.3,5.2743306,0.974330616
1059,12/31/2018,4.4,5.4230776,1.023077583
1059,1/31/2019,4.7,5.1091175,0.409117508
1059,2/28/2019,4.6,5.2256737,0.625673676
1059,3/31/2019,4.4,5.331095,0.931095219
1059,4/30/2019,4.3,4.71668,0.41668005
1059,5/31/2019,4.2,4.7867923,0.586792278
1059,6/30/2019,4.2,4.8946185,0.694618511
1059,7/31/2019,4.4,4.64433,0.244330025
1059,8/31/2019,4.3,4.887035,0.587034893
1059,9/30/2019,4.1,4.835647,0.735647106
1059,10/31/2019,4.1,4.288824,0.188824081
1059,11/30/2019,4.2,4.1675005,0.032499504
1059,12/31/2019,4.2,4.280429,0.080428886
1060,1/31/2018,4.7,4.6461487,0.053851318
1060,2/28/2018,4.8,4.6915674,0.108432579
1060,3/31/2018,4.6,4.633044,0.033043766
1060,4/30/2018,4.5,4.5624437,0.062443733
1060,5/31/2018,4.3,4.386873,0.086872768
1060,6/30/2018,4.2,4.479887,0.279887009
1060,7/31/2018,4.3,4.3941646,0.094164562
1060,8/31/2018,4.4,4.398983,0.001016998
1060,9/30/2018,4.1,4.3673763,0.267376328
1060,10/31/2018,3.9,4.156643,0.256642914
1060,11/30/2018,3.7,4.123947,0.423947144
1060,12/31/2018,3.7,4.222969,0.522969055
1060,1/31/2019,4.1,4.1194673,0.019467258
1060,2/28/2019,4.1,4.224656,0.124656105
1060,3/31/2019,4,4.267254,0.267253876
1060,4/30/2019,4,4.0658545,0.065854549
1060,5/31/2019,4,3.9666777,0.033322334
1060,6/30/2019,4,4.0410705,0.041070461
1060,7/31/2019,4.2,4.0779815,0.122018528
1060,8/31/2019,4.1,4.090217,0.009782887
1060,9/30/2019,4,3.9968162,0.003183842
1060,10/31/2019,4,3.798831,0.201169014
1060,11/30/2019,4,3.7073898,0.292610168
1060,12/31/2019,4.1,3.7652175,0.334782457
1061,1/31/2018,6,5.9043193,0.095680714
1061,2/28/2018,5.9,6.04334,0.143340206
1061,3/31/2018,5.8,6.121893,0.321892929
1061,4/30/2018,5.7,5.8790593,0.179059315
1061,5/31/2018,5.5,5.766728,0.266727924
1061,6/30/2018,5.3,5.8221607,0.522160721
