id,ags2,bundesland,ags5,kreis,kr_opnv_d,kr_opnv_b,kr_sm_b,kr_sm_d,kr_opnv_idx,kr_dist_bush,kr_dist_bhf,kr_dist_opnv,kr_dist_ustrab
260,9,Freistaat Bayern,9363,Weiden i.d.OPf.,190,99,90,574,36,383,2044,383,-99
261,9,Freistaat Bayern,9371,Amberg-Sulzbach,985,75,50,1874,30,405,4761,402,-99
262,9,Freistaat Bayern,9372,Cham,1993,45,49,1564,32,1580,2999,1102,-99
263,9,Freistaat Bayern,9373,Neumarkt i.d.OPf.,1324,68,49,1877,34,287,3856,285,8339
264,9,Freistaat Bayern,9374,Neustadt a.d.Waldnaab,1081,70,49,1879,28,1580,3766,1395,-99
265,9,Freistaat Bayern,9375,Regensburg,846,79,50,1670,33,432,3981,429,-99
266,9,Freistaat Bayern,9376,Schwandorf,1644,60,56,1579,31,1142,3779,971,-99
267,9,Freistaat Bayern,9377,Tirschenreuth,996,73,53,1920,27,1884,4430,1410,-99
268,9,Freistaat Bayern,9461,Bamberg,157,100,94,453,38,203,1899,202,-99
269,9,Freistaat Bayern,9462,Bayreuth,178,100,89,536,38,243,1939,241,-99
270,9,Freistaat Bayern,9463,Coburg,770,72,75,755,38,305,1354,303,-99
271,9,Freistaat Bayern,9464,Hof,210,98,87,605,37,268,1427,267,-99
272,9,Freistaat Bayern,9471,Bamberg,1522,59,53,1543,31,473,3767,469,9803
273,9,Freistaat Bayern,9472,Bayreuth,1289,62,43,2081,29,622,4179,550,-99
274,9,Freistaat Bayern,9473,Coburg,1055,70,53,1518,36,614,2824,565,-99
275,9,Freistaat Bayern,9474,Forchheim,417,92,50,1556,41,448,3087,446,4834
276,9,Freistaat Bayern,9475,Hof,1288,61,60,1312,37,488,2665,462,-99
277,9,Freistaat Bayern,9476,Kronach,1430,54,50,1387,34,940,3423,928,-99
278,9,Freistaat Bayern,9477,Kulmbach,1252,63,47,1655,34,1039,3239,833,-99
279,9,Freistaat Bayern,9478,Lichtenfels,1245,59,51,1659,37,465,2144,433,-99
280,9,Freistaat Bayern,9479,Wunsiedel i.Fichtelgebirge,579,85,66,1084,35,1063,2709,816,-99
281,9,Freistaat Bayern,9561,Ansbach,229,97,78,872,38,209,2072,209,-99
282,9,Freistaat Bayern,9562,Erlangen,186,100,90,514,38,259,1942,257,8434
283,9,Freistaat Bayern,9563,Fürth,177,100,92,475,66,363,982,340,1670
284,9,Freistaat Bayern,9564,Nürnberg,215,100,96,375,69,316,1022,290,1591
285,9,Freistaat Bayern,9565,Schwabach,272,96,85,682,48,216,1426,216,7451
286,9,Freistaat Bayern,9571,Ansbach,1497,61,51,1744,31,356,4221,344,6165
287,9,Freistaat Bayern,9572,Erlangen-Höchstadt,546,90,64,1062,28,386,4079,355,7701
288,9,Freistaat Bayern,9573,Fürth,493,90,60,1127,50,402,1461,371,5368
289,9,Freistaat Bayern,9574,Nürnberger Land,553,90,59,1293,42,335,1686,322,5845
290,9,Freistaat Bayern,9575,Neustadt a.d.Aisch-Bad Windsheim,2371,44,54,1708,36,555,3062,485,9375
291,9,Freistaat Bayern,9576,Roth,1068,74,54,1556,40,301,3591,298,5268
