ags2,bundesland,ags5,kreis
16,Thüringen,16051,Erfurt
16,Thüringen,16052,Gera
16,Thüringen,16053,Jena
16,Thüringen,16054,Suhl
16,Thüringen,16055,Weimar
16,Thüringen,16056,Eisenach
16,Thüringen,16061,Eichsfeld
16,Thüringen,16062,Nordhausen
16,Thüringen,16063,Wartburgkreis
16,Thüringen,16064,Unstrut-Hainich-Kreis
16,Thüringen,16065,Kyffhäuserkreis
16,Thüringen,16066,Schmalkalden-Meiningen
16,Thüringen,16067,Gotha
16,Thüringen,16068,Sömmerda
16,Thüringen,16069,Hildburghausen
16,Thüringen,16070,Ilm-Kreis
16,Thüringen,16071,Weimarer Land
16,Thüringen,16072,Sonneberg
16,Thüringen,16073,Saalfeld-Rudolstadt
16,Thüringen,16074,Saale-Holzland-Kreis
16,Thüringen,16075,Saale-Orla-Kreis
16,Thüringen,16076,Greiz
16,Thüringen,16077,Altenburger Land
