_id,ags2,bundesland,ags5,kreis,kr_amr,kr_ead,kr_land,kr_mz,kr_oz,kr_ror,kr_rbp,kr_wa_schr_kl,kr_amt_kl,kr_grw_fg_kl,kr_sr_am_kl,kr_rl_kl,kr_ssk_kl,kr_ssr_kl,kr_stla_kl,kr_mra_kl,kr_mrb_kl,kr_wo_kl,kr_grenze
143,07,Rheinland-Pfalz,07111,Stadt Koblenz,100,1773.0,0.0,0,1,701,35224.4,5,7,8,1,2,1,2,1,99,99,1,0
144,07,Rheinland-Pfalz,07131,Ahrweiler,99,206.4,32.8,4,0,701,37639.6,4,7,8,2,2,3,2,2,99,99,1,0
145,07,Rheinland-Pfalz,07132,Altenkirchen (Ww),96,258.3,17.7,4,0,701,40240.0,2,4,8,1,2,2,2,1,99,99,1,0
146,07,Rheinland-Pfalz,07133,Bad Kreuznach,101,242.8,46.0,4,0,702,26719.0,3,4,6,2,2,3,2,2,99,99,1,0
147,07,Rheinland-Pfalz,07134,Birkenfeld,102,138.6,64.9,3,0,702,19686.5,2,4,6,3,3,4,2,2,99,99,1,0
148,07,Rheinland-Pfalz,07135,Cochem-Zell,103,116.6,100.0,2,0,701,18102.3,2,7,6,3,3,4,2,2,99,99,1,0
149,07,Rheinland-Pfalz,07137,Mayen-Koblenz,100,343.7,7.6,4,0,701,32009.6,4,7,8,1,2,2,2,1,99,99,1,0
150,07,Rheinland-Pfalz,07138,Neuwied,98,384.8,0.0,3,0,701,45849.6,4,4,8,1,2,2,2,1,99,99,1,0
151,07,Rheinland-Pfalz,07140,Rhein-Hunsrück-Kreis,104,141.4,85.2,4,0,701,22040.6,3,4,7,2,3,3,2,2,99,99,1,0
152,07,Rheinland-Pfalz,07141,Rhein-Lahn-Kreis,100,197.1,43.4,5,0,701,35790.9,2,7,8,1,2,2,2,1,99,99,1,0
153,07,Rheinland-Pfalz,07143,Westerwaldkreis,97,271.3,28.4,6,0,701,35318.2,3,7,8,1,2,2,2,1,99,99,1,0
154,07,Rheinland-Pfalz,07211,Stadt Trier,105,1411.5,0.0,0,1,704,20639.2,4,7,8,2,2,1,3,1,99,99,1,2
155,07,Rheinland-Pfalz,07231,Bernkastel-Wittlich,106,130.3,83.1,3,0,704,16314.0,3,7,8,3,3,4,3,2,99,99,1,2
156,07,Rheinland-Pfalz,07232,Eifelkreis Bitburg-Prüm,108,77.5,84.9,3,0,704,13070.3,4,7,8,3,3,4,3,2,99,99,1,1
157,07,Rheinland-Pfalz,07233,Vulkaneifel,107,87.9,100.0,2,0,704,15240.3,2,7,8,3,3,4,3,2,99,99,1,2
158,07,Rheinland-Pfalz,07235,Trier-Saarburg,105,162.3,59.5,3,0,704,23840.9,4,7,8,2,3,3,3,2,99,99,1,1
159,07,Rheinland-Pfalz,07311,Stadt Frankenthal (Pfalz),114,1480.1,0.0,1,0,703,74232.7,4,4,8,1,1,2,1,1,99,4,1,0
160,07,Rheinland-Pfalz,07312,Stadt Kaiserslautern,109,1090.7,0.0,0,1,705,26503.2,4,5,5,2,2,2,2,1,99,99,1,2
161,07,Rheinland-Pfalz,07313,Stadt Landau in der Pfalz,110,823.6,0.0,1,0,703,40792.2,4,4,8,1,1,2,1,1,99,4,1,2
162,07,Rheinland-Pfalz,07314,Stadt Ludwigshafen a. Rh.,114,3493.7,0.0,0,1,703,76802.5,4,4,8,1,1,1,1,1,99,4,1,0
163,07,Rheinland-Pfalz,07315,Stadt Mainz,111,3342.7,0.0,0,1,702,73994.4,5,1,8,1,1,1,2,1,4,99,1,0
164,07,Rheinland-Pfalz,07316,Stadt Neustadt a.d. W.,114,603.3,0.0,1,0,703,47414.8,4,4,8,1,1,2,1,1,99,4,1,2
165,07,Rheinland-Pfalz,07317,Stadt Pirmasens,113,995.7,0.0,1,0,705,24586.8,2,5,1,2,2,3,2,2,99,99,1,2
166,07,Rheinland-Pfalz,07318,Stadt Speyer,114,1872.4,0.0,1,0,703,68472.5,4,4,8,1,1,2,1,1,99,4,1,0
167,07,Rheinland-Pfalz,07319,Stadt Worms,112,1070.2,0.0,1,0,702,59792.1,4,1,8,1,1,2,2,1,4,4,1,0
168,07,Rheinland-Pfalz,07320,Stadt Zweibrücken,113,694.2,0.0,1,0,705,31980.3,2,5,1,2,2,3,2,2,99,99,1,2
169,07,Rheinland-Pfalz,07331,Alzey-Worms,112,268.1,19.3,1,0,702,52357.9,4,1,8,1,1,2,2,1,4,99,1,0
170,07,Rheinland-Pfalz,07332,Bad Dürkheim,114,275.9,9.2,3,0,703,48676.1,4,4,8,1,1,2,1,1,99,4,1,0
171,07,Rheinland-Pfalz,07333,Donnersbergkreis,109,150.0,82.4,3,0,705,34135.2,2,5,5,2,2,3,2,2,99,99,1,0
172,07,Rheinland-Pfalz,07334,Germersheim,115,373.0,14.0,3,0,703,50373.0,4,4,8,1,2,2,1,1,99,4,1,1
173,07,Rheinland-Pfalz,07335,Kaiserslautern,109,204.1,28.7,1,0,705,29764.9,4,5,5,2,2,2,2,1,99,99,1,2
174,07,Rheinland-Pfalz,07336,Kusel,109,145.0,58.7,2,0,705,25636.8,2,5,8,2,2,3,2,2,99,99,1,2
175,07,Rheinland-Pfalz,07337,Südliche Weinstraße,110,220.6,37.0,4,0,703,39521.9,4,4,8,1,2,2,1,1,99,4,1,1
176,07,Rheinland-Pfalz,07338,Rhein-Pfalz-Kreis,114,593.3,0.0,1,0,703,71021.8,4,4,8,1,1,2,1,1,99,4,1,0
177,07,Rheinland-Pfalz,07339,Mainz-Bingen,111,436.2,7.1,5,0,702,56228.5,5,1,8,1,1,2,2,1,4,99,1,0
178,07,Rheinland-Pfalz,07340,Südwestpfalz,113,115.9,100.0,1,0,705,26917.0,2,5,4,2,2,3,2,2,99,99,1,1
179,08,Baden-Württemberg,08111,Stuttgart,120,5007.1,0.0,0,1,810,84325.4,5,1,8,1,1,1,1,1,9,5,1,0
180,08,Baden-Württemberg,08115,Böblingen,120,917.0,0.0,4,0,810,75692.7,5,1,8,1,1,2,1,1,9,5,1,0
181,08,Baden-Württemberg,08116,Esslingen,120,1163.4,0.0,3,0,810,80386.7,5,6,8,1,1,2,1,1,9,5,1,0
182,08,Baden-Württemberg,08117,Göppingen,121,536.5,4.7,2,0,810,48815.4,5,6,8,1,2,2,1,1,9,5,1,0
183,08,Baden-Württemberg,08118,Ludwigsburg,120,1078.2,0.0,5,0,810,84278.5,5,6,8,1,1,2,1,1,9,5,1,0
184,08,Baden-Württemberg,08119,Rems-Murr-Kreis,120,667.4,4.0,4,0,810,66526.0,5,6,8,1,1,2,1,1,9,5,1,0
