ags5,date,ground_truth,pred,error,mape
05558,2021-04-30,3.0,3.269600368292195,0.269600368292195,0.08986678943073168
05562,2021-02-28,9.2,9.175060334606425,0.024939665393574728,0.002710833194953775
05562,2021-03-31,9.0,9.06739014706883,0.06739014706882962,0.007487794118758846
05562,2021-04-30,9.0,9.292371671136005,0.2923716711360047,0.03248574123733386
05566,2021-02-28,4.5,4.628550645468372,0.1285506454683718,0.028566810104082623
05566,2021-03-31,4.4,4.591577536355456,0.1915775363554557,0.04354034917169448
05566,2021-04-30,4.3,4.679582658988422,0.37958265898842214,0.08827503697405166
05570,2021-02-28,5.1,5.269678985109888,0.1696789851098881,0.03327038923723297
05570,2021-03-31,5.0,5.248555779588781,0.24855577958878072,0.04971115591775614
05570,2021-04-30,4.8,5.344752733396136,0.5447527333961366,0.1134901527908618
05711,2021-02-28,9.0,9.019824519025915,0.01982451902591542,0.0022027243362128246
05711,2021-03-31,8.9,8.950268705526424,0.05026870552642393,0.005648169160272352
05711,2021-04-30,9.2,9.13960986564338,0.060390134356619996,0.0065641450387630435
05754,2021-02-28,4.6,4.690918206524808,0.0909182065248082,0.019764827505393087
05754,2021-03-31,4.4,4.6238921031919045,0.2238921031919041,0.05088456890725093
05754,2021-04-30,4.3,4.761426944423165,0.4614269444231649,0.10730859172631742
05758,2021-02-28,6.1,6.144235413871682,0.04423541387168228,0.007251707192079063
05758,2021-03-31,5.8,6.132963492790604,0.3329634927906042,0.05740749875700073
05758,2021-04-30,5.8,6.245989632369385,0.44598963236938527,0.07689476420161816
05762,2021-02-28,4.4,4.499147985227297,0.09914798522729651,0.02253363300620375
05762,2021-03-31,4.2,4.455580524273877,0.2555805242738769,0.0608525057794945
05762,2021-04-30,4.2,4.52364428765497,0.3236442876549699,0.07705816372737379
05766,2021-02-28,6.4,6.544690006262502,0.1446900062625014,0.022607813478515842
05766,2021-03-31,6.2,6.483564657488678,0.2835646574886779,0.045736235078819014
05766,2021-04-30,6.1,6.572078781836871,0.47207878183687146,0.07738996423555271
05770,2021-02-28,5.9,6.094819362730114,0.19481936273011335,0.03302023097120565
05770,2021-03-31,5.7,6.095146860830118,0.39514686083011785,0.0693240106719505
05770,2021-04-30,5.5,6.225440668106712,0.725440668106712,0.13189830329212945
05774,2021-02-28,5.9,5.919556647056731,0.019556647056730547,0.0033146859418187367
05774,2021-03-31,5.8,5.924546310801246,0.12454631080124656,0.02147350186228389
05774,2021-04-30,5.7,6.086239248729933,0.3862392487299324,0.06776127170700569
05911,2021-02-28,9.8,9.693775941692286,0.1062240583077152,0.010839189623236243
05911,2021-03-31,9.5,9.74279450155797,0.24279450155797022,0.02555731595347055
05911,2021-04-30,9.5,9.98135933726848,0.48135933726847924,0.05066940392299781
05913,2021-02-28,12.1,12.081942719109072,0.018057280890927174,0.0014923372637129896
05913,2021-03-31,12.0,11.995712398372309,0.004287601627691373,0.00035730013564094776
05913,2021-04-30,11.9,12.330000034664108,0.43000003466410774,0.03613445669446284
05914,2021-02-28,12.3,12.202043694256565,0.09795630574343583,0.007963927296214295
05914,2021-03-31,12.1,12.233167086502023,0.13316708650202358,0.011005544339010213
05914,2021-04-30,12.1,12.418542166572347,0.3185421665723478,0.02632579889027668
05915,2021-02-28,9.4,9.39665408050422,0.003345919495780336,0.000355948882529823
05915,2021-03-31,9.1,9.355048619779494,0.2550486197794939,0.02802732085488944
05915,2021-04-30,8.8,9.58956570057747,0.7895657005774694,0.08972337506562152
05916,2021-02-28,12.2,12.180571027271275,0.019428972728723792,0.0015925387482560486
05916,2021-03-31,11.9,11.949989544599504,0.04998954459950333,0.004200802067185154
05916,2021-04-30,12.0,11.934988146635607,0.06501185336439264,0.00541765444703272
05954,2021-02-28,7.1,7.273936756588178,0.1739367565881782,0.024498134730729326
05954,2021-03-31,7.0,7.230091923299146,0.2300919232991463,0.0328702747570209
05954,2021-04-30,7.0,7.435460005612964,0.4354600056129643,0.06220857223042347
